"Date","Value"
"04-01-2000","5.723"
"05-01-2000","5.8037"
"06-01-2000","5.8087"
"07-01-2000","5.7565"
"10-01-2000","5.6861"
"11-01-2000","5.7703"
"12-01-2000","5.8257"
"13-01-2000","5.7387"
"14-01-2000","5.7824"
"17-01-2000","5.8374"
"18-01-2000","5.9337"
"19-01-2000","5.8738"
"20-01-2000","5.918"
"21-01-2000","5.8912"
"24-01-2000","5.874"
"25-01-2000","5.7989"
"26-01-2000","5.7976"
"27-01-2000","5.8969"
"28-01-2000","5.9219"
"31-01-2000","5.816"
"01-02-2000","5.6757"
"02-02-2000","5.6911"
"03-02-2000","5.6321"
"04-02-2000","5.7178"
"07-02-2000","5.7324"
"08-02-2000","5.6933"
"09-02-2000","5.727"
"10-02-2000","5.7651"
"11-02-2000","5.727"
"14-02-2000","5.662"
"15-02-2000","5.6727"
"16-02-2000","5.7745"
"17-02-2000","5.7358"
"18-02-2000","5.6817"
"21-02-2000","5.5985"
"22-02-2000","5.5051"
"23-02-2000","5.528"
"24-02-2000","5.4278"
"25-02-2000","5.418"
"28-02-2000","5.4364"
"29-02-2000","5.526"
"01-03-2000","5.4951"
"02-03-2000","5.522"
"03-03-2000","5.4433"
"06-03-2000","5.3872"
"07-03-2000","5.3591"
"08-03-2000","5.3783"
"09-03-2000","5.3425"
"10-03-2000","5.3907"
"13-03-2000","5.3802"
"14-03-2000","5.4059"
"15-03-2000","5.3797"
"16-03-2000","5.268"
"17-03-2000","5.2209"
"20-03-2000","5.2594"
"21-03-2000","5.2851"
"22-03-2000","5.3714"
"23-03-2000","5.3197"
"24-03-2000","5.3366"
"27-03-2000","5.4599"
"28-03-2000","5.417"
"29-03-2000","5.4182"
"30-03-2000","5.3493"
"31-03-2000","5.3368"
"03-04-2000","5.2902"
"04-04-2000","5.3215"
"05-04-2000","5.2343"
"06-04-2000","5.3152"
"07-04-2000","5.2516"
"10-04-2000","5.2871"
"11-04-2000","5.2601"
"12-04-2000","5.2877"
"13-04-2000","5.3375"
"14-04-2000","5.35"
"17-04-2000","5.3712"
"18-04-2000","5.3542"
"19-04-2000","5.3632"
"20-04-2000","5.3732"
"25-04-2000","5.4169"
"26-04-2000","5.371"
"27-04-2000","5.3306"
"28-04-2000","5.2684"
"02-05-2000","5.2937"
"03-05-2000","5.3054"
"04-05-2000","5.4145"
"05-05-2000","5.4517"
"08-05-2000","5.4044"
"09-05-2000","5.3554"
"10-05-2000","5.3523"
"11-05-2000","5.4626"
"12-05-2000","5.4601"
"15-05-2000","5.4007"
"16-05-2000","5.3696"
"17-05-2000","5.4832"
"18-05-2000","5.5443"
"19-05-2000","5.5585"
"22-05-2000","5.4772"
"23-05-2000","5.5015"
"24-05-2000","5.4588"
"25-05-2000","5.3703"
"26-05-2000","5.2799"
"30-05-2000","5.2996"
"31-05-2000","5.2256"
"01-06-2000","5.1865"
"02-06-2000","5.1002"
"05-06-2000","5.1342"
"06-06-2000","5.1696"
"07-06-2000","5.1714"
"08-06-2000","5.2178"
"09-06-2000","5.1723"
"12-06-2000","5.1629"
"13-06-2000","5.1589"
"14-06-2000","5.1946"
"15-06-2000","5.2333"
"16-06-2000","5.1331"
"19-06-2000","5.1538"
"20-06-2000","5.2006"
"21-06-2000","5.305"
"22-06-2000","5.2822"
"23-06-2000","5.3242"
"26-06-2000","5.2877"
"27-06-2000","5.2937"
"28-06-2000","5.2786"
"29-06-2000","5.2248"
"30-06-2000","5.228"
"03-07-2000","5.2675"
"04-07-2000","5.2326"
"05-07-2000","5.1895"
"06-07-2000","5.2551"
"07-07-2000","5.1871"
"10-07-2000","5.2439"
"11-07-2000","5.216"
"12-07-2000","5.213"
"13-07-2000","5.2223"
"14-07-2000","5.303"
"17-07-2000","5.3159"
"18-07-2000","5.2982"
"19-07-2000","5.2605"
"20-07-2000","5.24"
"21-07-2000","5.1939"
"24-07-2000","5.2079"
"25-07-2000","5.1971"
"26-07-2000","5.1859"
"27-07-2000","5.2047"
"28-07-2000","5.2918"
"31-07-2000","5.2897"
"01-08-2000","5.2694"
"02-08-2000","5.2957"
"03-08-2000","5.2865"
"04-08-2000","5.3192"
"07-08-2000","5.2969"
"08-08-2000","5.2827"
"09-08-2000","5.2881"
"10-08-2000","5.2996"
"11-08-2000","5.2536"
"14-08-2000","5.3097"
"15-08-2000","5.3501"
"16-08-2000","5.3487"
"17-08-2000","5.3653"
"18-08-2000","5.35"
"21-08-2000","5.3943"
"22-08-2000","5.3881"
"23-08-2000","5.3595"
