name,wealth
EXXON MOBIL CORP,"1,002,144.38"
APPLE INC,"745,674.95"
MICROSOFT CORP,"629,803.55"
GENERAL ELECTRIC CO,"608,115.39"
INTERNATIONAL BUSINESS MACHS COR,"520,240.33"
ALTRIA GROUP INC,"470,183.11"
JOHNSON & JOHNSON,"426,210.45"
GENERAL MOTORS CORP,"425,318.22"
CHEVRON CORP NEW,"390,427.09"
WAL MART STORES INC,"368,214.42"
ALPHABET INC,"365,284.60"
BERKSHIRE HATHAWAY INC DEL,"355,863.57"
PROCTER & GAMBLE CO,"354,971.14"
AMAZON COM INC,"335,100.49"
COCA COLA CO,"326,085.19"
DU PONT E I DE NEMOURS & CO,"307,975.71"
A T & T CORP,"297,240.00"
MERCK & CO INC NEW,"286,670.53"
WELLS FARGO & CO NEW,"261,342.65"
INTEL CORP,"259,252.18"
JPMORGAN CHASE & CO,"238,148.30"
HOME DEPOT INC,"230,702.84"
PEPSICO INC,"224,570.60"
ORACLE CORP,"214,244.71"
MOBIL CORP,"202,460.65"
3M CO,"200,356.97"
DISNEY WALT CO,"191,953.52"
FACEBOOK INC,"181,243.48"
ABBOTT LABORATORIES,"181,151.72"
PFIZER INC,"179,893.55"
MCDONALDS CORP,"178,327.05"
UNITEDHEALTH GROUP INC,"172,168.41"
A T & T INC,"169,525.11"
AMOCO CORP,"168,008.81"
VERIZON COMMUNICATIONS INC,"165,101.76"
TEXACO INC,"164,279.14"
BRISTOL MYERS SQUIBB CO,"161,948.84"
COMCAST CORP NEW,"146,959.24"
CONOCOPHILLIPS,"143,849.03"
WARNER LAMBERT CO,"142,468.00"
BOEING CO,"139,354.92"
AMGEN INC,"137,876.66"
SCHLUMBERGER LTD,"134,185.77"
CISCO SYSTEMS INC,"131,294.63"
VISA INC,"129,757.45"
H P INC,"129,289.71"
UNITED TECHNOLOGIES CORP,"126,167.80"
UNION PACIFIC CORP,"122,357.22"
SEARS ROEBUCK & CO,"120,586.75"
GILEAD SCIENCES INC,"118,600.24"
ROYAL BANK CANADA MONTREAL QUE,"118,551.85"
DOW CHEMICAL CO,"118,422.81"
WYETH,"117,676.15"
FORD MOTOR CO DEL,"116,301.92"
PHILIP MORRIS INTERNATIONAL INC,"116,090.43"
BELLSOUTH CORP,"114,763.20"
LILLY ELI & CO,"112,419.66"
MASTERCARD INC,"110,969.83"
AMERITECH CORP,"110,343.15"
B C E INC,"107,784.90"
AMERICAN EXPRESS CO,"102,895.13"
CATERPILLAR INC,"101,433.27"
GULF CORP,"100,471.30"
HONEYWELL INTERNATIONAL INC,"100,092.08"
LOCKHEED MARTIN CORP,"97,374.04"
TORONTO DOMINION BANK ONT,"95,359.99"
UNILEVER N V,"95,145.20"
WALGREENS BOOTS ALLIANCE INC,"94,650.85"
G T E CORP,"93,442.65"
C V S HEALTH CORP,"93,185.25"
QUALCOMM INC,"91,341.27"
TEXAS INSTRUMENTS INC,"90,088.18"
SHELL OIL CO,"89,412.17"
CELGENE CORP,"88,624.30"
COLGATE PALMOLIVE CO,"88,622.07"
LOWES COMPANIES INC,"87,788.48"
U S WEST INC NEW,"87,274.55"
STARBUCKS CORP,"86,657.08"
EASTMAN KODAK CO,"85,674.85"
U S BANCORP DEL,"83,742.78"
GOLDMAN SACHS GROUP INC,"81,377.74"
SOUTHERN CO,"81,229.83"
NIKE INC,"79,898.11"
NABISCO GROUP HOLDING CORP,"79,756.05"
MEDTRONIC PLC,"78,374.50"
TIME WARNER INC,"77,980.12"
REYNOLDS AMERICAN INC,"77,011.98"
EBAY INC,"76,244.74"
GENENTECH INC,"76,124.79"
TELE COMMUNICATIONS INC NEW,"75,632.64"
COSTCO WHOLESALE CORP NEW,"74,310.59"
GILLETTE CO,"73,431.96"
KIMBERLY CLARK CORP,"72,879.67"
GENERAL DYNAMICS CORP,"72,362.69"
AUTOMATIC DATA PROCESSING INC,"72,025.08"
MORGAN STANLEY DEAN WITTER & CO,"71,303.69"
TARGET CORP,"70,661.94"
NEXTERA ENERGY INC,"69,913.91"
ACCENTURE PLC IRELAND,"69,319.47"
BANK OF AMERICA CORP,"69,194.73"
ALLERGAN INC,"68,977.36"
UNION CARBIDE CORP,"68,832.66"
EMERSON ELECTRIC CO,"68,654.63"
OCCIDENTAL PETROLEUM CORP,"67,112.05"
LOEWS CORP,"66,956.86"
ANHEUSER BUSCH COS INC,"66,915.87"
DANAHER CORP,"66,031.01"
T J X COMPANIES INC NEW,"65,571.47"
MARATHON OIL CORP,"65,121.82"
GENERAL MILLS INC,"64,793.70"
CANADIAN NATIONAL RAILWAY CO,"63,991.17"
DEERE & CO,"63,945.48"
BANK OF NOVA SCOTIA,"63,750.08"
BIOGEN INC,"62,525.55"
ILLINOIS TOOL WORKS INC,"62,293.27"
C B S CORP,"62,134.30"
ATLANTIC RICHFIELD CO,"61,695.91"
P G & E CORP,"60,358.99"
SCHERING PLOUGH CORP,"59,928.54"
CHRYSLER CORP,"59,834.30"
DOMINION RESOURCES INC VA NEW,"59,474.79"
P N C FINANCIAL SERVICES GRP INC,"57,156.50"
MONDELEZ INTERNATIONAL INC,"57,024.82"
DUKE ENERGY CORP NEW,"56,616.04"
AIRTOUCH COMMUNICATIONS,"55,960.10"
MONSANTO CO NEW,"55,683.10"
KELLOGG CO,"55,081.78"
HALLIBURTON COMPANY,"55,053.44"
NVIDIA CORP,"54,803.95"
BEAM INC,"54,652.17"
RAYTHEON CO,"54,125.83"
NORTHROP GRUMMAN CORP,"53,711.36"
BAXTER INTERNATIONAL INC,"53,576.75"
CONSOLIDATED EDISON INC,"53,041.59"
PRICELINE GROUP INC,"53,012.99"
ABBVIE INC,"52,465.25"
T X U CORP,"52,078.09"
EOG RESOURCES INC,"51,523.19"
P P G INDUSTRIES INC,"51,443.21"
DIRECTV,"51,338.91"
NORFOLK SOUTHERN CORP,"50,786.11"
NETFLIX INC,"50,605.78"
FEDEX CORP,"50,314.37"
AMERICAN ELECTRIC POWER CO INC,"50,021.94"
EDISON INTERNATIONAL,"49,493.32"
STRYKER CORP,"49,238.97"
SCHWAB CHARLES CORP NEW,"49,083.44"
ADOBE SYSTEMS INC,"48,301.00"
BROADCOM LTD,"48,212.01"
BLACKROCK INC,"47,829.42"
UNITED PARCEL SERVICE INC,"47,708.71"
AETNA INC NEW,"47,274.10"
DELL INC,"46,997.31"
E M C CORP MA,"46,954.79"
CIGNA CORP,"46,906.67"
C S X CORP,"46,285.62"
ALLSTATE CORP,"46,120.11"
HEINZ H J CO,"46,012.09"
MARSH & MCLENNAN COS INC,"45,732.69"
BESTFOODS,"45,321.94"
PHARMACIA CORP,"45,142.07"
BANK OF NEW YORK MELLON CORP,"44,794.16"
S & P GLOBAL INC,"44,725.99"
SYSCO CORP,"44,529.69"
CHUBB LTD,"44,493.48"
AFLAC INC,"44,133.60"
ALCON INC,"44,050.05"
LYONDELLBASELL INDUSTRIES N V,"43,989.38"
YUM BRANDS INC,"43,874.85"
METLIFE INC,"43,707.43"
PUBLIC SERVICE ENTERPRISE GP INC,"43,693.23"
CAMPBELL SOUP CO,"43,684.90"
PACIFIC TELESIS GROUP,"43,474.24"
MORGAN J P & CO INC,"43,369.43"
KROGER COMPANY,"43,228.94"
STANDARD OIL CO OH,"43,047.48"
AIR PRODUCTS & CHEMICALS INC,"42,871.86"
BURLINGTON NORTHERN SANTA FE CP,"42,630.61"
PRUDENTIAL FINANCIAL INC,"42,625.09"
EXELON CORP,"42,540.13"
TRAVELERS COMPANIES INC,"42,340.90"
TIME WARNER CABLE INC,"42,315.34"
UNOCAL CORP,"42,066.43"
L BRANDS INC,"41,877.37"
BANK MONTREAL QUE,"41,828.18"
CHUBB CORP,"41,781.13"
BECTON DICKINSON & CO,"41,414.59"
IMPERIAL OIL LTD,"41,394.01"
PHELPS DODGE CORP,"41,253.29"
EXPRESS SCRIPTS HOLDING CO,"40,704.98"
ALCAN INC,"40,679.24"
ENBRIDGE INC,"40,376.13"
PRAXAIR INC,"40,078.26"
THERMO FISHER SCIENTIFIC INC,"39,653.34"
INGERSOLL RAND PLC,"39,457.36"
MOODYS CORP,"39,177.13"
NYNEX CORP,"38,913.81"
PHILLIPS 66,"38,844.81"
APPLIED MATERIALS INC,"38,727.89"
INCO LTD,"38,721.24"
M B N A CORP,"37,956.34"
ARCHER DANIELS MIDLAND CO,"37,598.33"
CONOCO INC,"37,396.78"
HILLSHIRE BRANDS CO,"37,391.94"
SEAGRAM LTD,"37,202.63"
BANKAMERICA CORP,"37,177.29"
VALERO ENERGY CORP NEW,"37,014.70"
M C I COMMUNICATIONS CORP,"36,912.38"
SUNCOR ENERGY INC NEW,"36,567.82"
EATON CORP PLC,"36,389.78"
AON PLC,"36,310.68"
HUMANA INC,"36,274.31"
AUTOZONE INC,"36,085.85"
COVIDIEN PLC,"35,931.69"
INTERNATIONAL PAPER CO,"35,758.21"
CITICORP,"35,427.75"
UNICOM CORP HOLDING CO,"35,393.58"
FRANKLIN RESOURCES INC,"35,319.56"
CANADIAN NATURAL RESOURCES LTD,"34,955.94"
SALESFORCE COM INC,"34,706.24"
GETTY OIL CO,"34,588.95"
SOUTHERN COPPER CORP,"34,423.05"
WELLS FARGO & CO NEW,"34,378.73"
MACYS INC,"33,969.66"
D T E ENERGY CO,"33,953.70"
SOUTHWEST AIRLINES CO,"33,857.10"
SHERWIN WILLIAMS CO,"33,668.15"
INTUIT INC,"33,548.26"
KENNECOTT CORP,"33,474.50"
ANTHEM INC,"33,419.49"
ROCKWELL INTERNATIONAL CORP,"33,346.77"
JOHNSON CONTROLS INC,"33,110.76"
BURLINGTON RESOURCES INC,"32,725.33"
HERSHEY CO,"32,705.37"
PACCAR INC,"32,571.53"
SUNOCO INC,"32,535.39"
PROGRESSIVE CORP OH,"32,503.34"
REGENERON PHARMACEUTICALS INC,"32,156.27"
MARRIOTT INTERNATIONAL INC NEW,"32,052.79"
TWENTY FIRST CENTURY FOX INC,"31,754.58"
ECOLAB INC,"31,752.46"
PRECISION CASTPARTS CORP,"31,722.25"
FIRST DATA CORP,"31,712.22"
DELTA AIR LINES INC,"31,373.87"
STATE STREET CORP,"31,356.86"
BROOKFIELD ASSET MANAGEMENT INC,"31,214.05"
COGNIZANT TECHNOLOGY SOLS CORP,"31,103.25"
V F CORP,"30,991.73"
ROSS STORES INC,"30,968.75"
KRAFT INC NEW,"30,625.77"
P P L CORP,"30,565.27"
CANADIAN IMPERIAL BANK COMMERCE,"30,197.45"
CAPITAL CITIES ABC INC,"29,966.24"
O REILLY AUTOMOTIVE INC NEW,"29,936.56"
GENERAL FOODS CORP,"29,822.01"
TRANSCANADA CORP,"29,325.97"
ENTERGY CORP NEW,"29,284.68"
KRAFT FOODS GROUP INC,"29,128.19"
CONAGRA BRANDS INC,"29,119.25"
MEDCO HEALTH SOLUTIONS INC,"29,024.98"
WRIGLEY WILLIAM JR CO,"28,621.48"
CONSTELLATION BRANDS INC,"28,432.34"
PAYCHEX INC,"28,262.09"
BROWN FORMAN CORP,"28,223.93"
FOREST LABS INC,"28,165.89"
